ÝL NO;ÝL ADI;ADANA;ADIYAMAN;AFYON;AÐRI;AMASYA;ANKARA;ANTALYA;ARTVÝN;AYDIN;BALIKESÝR;BÝLECÝK;BÝNGÖL;BÝTLÝS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENÝZLÝ;DÝYARBAKIR;EDÝRNE;ELAZIÐ;ERZÝNCAN;ERZURUM;ESKÝÞEHÝR;GAZÝANTEP;GÝRESUN;GÜMÜÞHANE;HAKKARÝ;HATAY;ISPARTA;ÝÇEL;ÝSTANBUL;ÝZMÝR;KARS;KASTAMONU;KAYSERÝ;KIRKLARELÝ;KIRÞEHÝR;KOCAELÝ;KONYA;KÜTAHYA;MALATYA;MANÝSA;KAHRAMANMARAÞ;MARDÝN;MUÐLA;MUÞ;NEVÞEHÝR;NÝÐDE;ORDU;RÝZE;SAKARYA;SAMSUN;SÝÝRT;SÝNOP;SÝVAS;TEKÝRDAÐ;TOKAT;TRABZON;TUNCELÝ;ÞANLIURFA;UÞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ÞIRNAK;BARTIN;ARDAHAN;IÐDIR;YALOVA;KARABÜK;KÝLÝS;OSMANÝYE;DÜZCE;ÝL ADI;ÝL NO;;;
33;ÝÇEL;69;405;565;1035;639;483;483;1101;825;893;762;699;801;670;605;831;1092;568;572;703;594;1162;559;740;875;680;281;790;848;978;260;581;;932;892;1078;680;326;1143;368;821;348;665;461;876;261;606;794;808;280;198;779;989;784;744;777;839;492;1064;561;914;693;418;681;964;466;747;258;870;235;467;690;789;762;1105;1138;886;694;317;156;715;ÝÇEL;33;;;
34;ÝSTANBUL;939;1208;454;1409;671;453;718;1301;684;390;247;1311;1503;262;596;243;320;495;614;639;1359;230;1208;1038;1228;324;1120;929;1092;1810;1130;595;932;;564;1428;510;771;211;637;111;662;354;1110;529;1044;1445;783;1420;728;797;885;1140;148;734;1546;682;891;132;785;1065;1169;1257;493;1638;668;331;674;1127;775;528;1459;1628;420;1410;1519;176;396;1179;1026;217;ÝSTANBUL;34;;;
35;ÝZMÝR;900;1236;327;1635;912;579;444;1559;126;176;420;1425;1617;598;374;325;326;710;820;224;1425;534;1285;1264;1454;411;1112;1187;1331;1809;1091;382;892;564;;1654;822;848;551;752;453;550;333;1187;35;1092;1437;225;1534;767;786;1143;1398;484;992;1608;991;1018;506;958;1323;1395;1249;211;1752;794;667;692;1353;663;654;1521;1620;756;1668;1745;390;732;1148;987;553;ÝZMÝR;35;;;
36;KARS;1009;732;1331;217;757;1075;1448;210;1661;1590;1379;383;432;1166;1444;1439;1710;1005;849;1538;527;1658;521;390;203;1308;840;566;403;567;991;1394;1078;1428;1654;;1010;832;1639;962;1317;1134;1386;617;1638;837;622;1683;349;911;958;610;363;1280;761;529;916;638;1560;696;438;443;703;1443;365;862;1226;986;325;1133;1000;567;624;1193;93;140;1382;1124;899;922;1211;KARS;36;;;
37;KASTAMONU;687;883;499;991;253;243;780;857;841;672;461;893;1085;248;665;521;792;112;196;718;952;740;799;620;810;476;809;485;648;1392;878;664;680;510;822;1010;;460;721;326;399;466;554;719;806;733;1047;863;1002;417;499;441;696;362;290;1139;183;473;642;367;621;751;946;611;1220;300;216;422;709;577;217;1052;1234;183;966;1101;464;114;868;774;293;KASTAMONU;37;;;
38;KAYSERÝ;333;437;521;813;348;318;618;850;831;842;622;577;769;509;614;691;962;348;281;708;588;1001;437;442;632;540;349;492;550;1046;447;564;326;771;848;832;460;;982;134;660;304;618;339;832;273;674;853;686;81;128;481;691;623;453;775;548;194;903;263;616;571;486;637;904;175;586;156;572;303;247;688;857;601;854;923;725;533;408;378;554;KAYSERÝ;38;;;
39;KIRKLARELÝ;1150;1419;665;1620;882;664;929;1512;675;424;458;1522;1714;473;807;436;233;706;825;709;1570;62;1419;1249;1439;535;1331;1140;1303;2021;1341;806;1143;211;551;1639;721;982;;848;322;873;565;1321;556;1255;1656;774;1631;939;1008;1096;1351;359;945;1757;893;1102;121;996;1276;1380;1468;649;1849;879;542;885;1338;986;739;1670;1839;631;1621;1730;387;607;1390;1237;428;KIRKLARELÝ;39;;;
40;KIRÞEHÝR;375;571;429;943;312;184;572;953;771;708;488;711;903;375;568;557;828;214;220;648;722;867;571;572;762;406;483;581;680;1180;566;518;368;637;752;962;326;134;848;;526;258;484;473;736;407;808;793;820;91;173;537;792;489;392;909;487;324;769;319;717;703;620;541;1038;112;452;110;702;320;113;822;991;467;984;1053;591;399;542;462;420;KIRÞEHÝR;40;;;
41;KOCAELÝ;828;1097;343;1298;560;342;607;1190;573;279;136;1200;1392;151;485;132;399;384;503;528;1248;341;1097;927;1117;213;1009;818;981;1699;1019;484;821;111;453;1317;399;660;322;526;;551;243;999;418;933;1334;672;1309;617;686;774;1029;37;623;1435;571;780;243;674;954;1058;1146;382;1527;557;220;563;1016;664;417;1348;1517;309;1299;1408;65;285;1068;915;106;KOCAELÝ;41;;;
42;KONYA;356;692;223;1115;511;258;322;1152;533;551;420;881;1073;445;314;489;750;354;419;410;881;892;741;744;934;338;568;786;852;1265;547;263;348;662;550;1134;466;304;873;258;551;;323;643;534;548;893;555;990;223;242;742;993;514;591;1064;635;496;794;557;918;875;705;339;1208;370;522;148;874;119;253;977;1076;537;1156;1225;549;469;604;443;490;KONYA;42;;;
43;KÜTAHYA;673;1009;100;1367;644;311;364;1291;408;228;112;1195;1387;320;242;177;427;442;552;285;1198;584;1055;996;1186;78;885;919;1063;1582;864;241;665;354;333;1386;554;618;565;484;243;323;;957;317;865;1210;430;1304;540;559;875;1130;206;724;1381;723;750;486;690;1055;1127;1022;139;1522;526;389;465;1085;436;386;1294;1393;478;1400;1477;241;454;921;760;275;KÜTAHYA;43;;;
44;MALATYA;392;182;860;592;466;657;944;640;1170;1181;961;238;430;848;953;1030;1301;686;530;1047;249;1340;98;363;414;879;240;544;496;720;374;903;461;1110;1187;617;719;339;1321;473;999;643;957;;1171;220;344;1192;347;420;467;560;672;962;584;436;724;246;1242;354;597;232;266;976;565;470;925;495;492;642;586;349;531;902;644;708;1064;833;299;305;893;MALATYA;44;;;
45;MANÝSA;884;1220;311;1619;896;563;428;1543;155;141;385;1409;1601;563;358;290;331;694;804;208;1409;539;1269;1248;1438;395;1096;1171;1315;1793;1075;366;876;529;35;1638;806;832;556;736;418;534;317;1171;;1076;1421;254;1518;751;770;1127;1382;449;976;1592;975;1002;511;942;1307;1379;1233;195;1736;778;632;676;1337;647;638;1505;1604;721;1652;1729;355;697;1132;971;518;MANÝSA;45;;;
46;KAHRAMANMARAÞ;192;164;765;810;520;591;744;860;1075;1093;895;458;576;782;858;964;1235;621;554;952;369;1274;318;583;634;813;76;637;695;773;174;808;261;1044;1092;837;733;273;1255;407;933;548;865;220;1076;;401;1055;567;354;397;626;836;896;638;552;778;339;1176;408;761;452;213;881;739;448;859;429;712;481;520;465;584;874;864;913;998;806;135;105;827;KAHRAMANMARAÞ;46;;;
47;MARDÝN;537;296;1110;518;794;992;1089;645;1420;1438;1296;239;284;1183;1203;1365;1636;1014;858;1297;95;1675;248;503;419;1214;325;785;622;398;519;1153;606;1445;1437;622;1047;674;1656;808;1334;893;1210;344;1421;401;;1400;352;755;742;828;798;1297;912;230;1052;574;1577;682;723;372;188;1226;447;798;1260;802;544;826;921;149;209;1230;649;621;1399;1161;384;450;1228;MARDÝN;47;;;
48;MUÐLA;863;1199;368;1664;953;620;311;1600;99;395;542;1430;1595;750;241;544;549;751;861;145;1388;757;1290;1293;1483;500;1075;1228;1372;1772;1054;292;794;783;225;1683;863;853;774;793;672;555;430;1192;254;1055;1400;;1539;772;791;1184;1439;636;1033;1571;1032;1045;729;999;1364;1424;1212;295;1757;835;819;697;1394;660;695;1484;1583;879;1705;1774;609;811;1111;950;705;MUÐLA;48;;;
49;MUÞ;739;462;1207;245;749;1004;1291;479;1517;1528;1308;113;83;1158;1300;1377;1648;997;841;1394;257;1650;251;382;266;1226;570;629;466;390;721;1250;808;1420;1534;349;1002;686;1631;820;1309;990;1304;347;1518;567;352;1539;;767;814;673;632;1272;824;180;973;577;1552;685;567;251;433;1323;218;801;1218;842;388;989;933;218;275;1185;408;388;1374;1116;629;652;1203;MUÞ;49;;;
50;NEVÞEHÝR;287;518;440;892;363;275;537;929;750;768;579;658;850;466;533;648;919;305;296;627;669;958;518;521;711;497;430;571;629;1127;478;483;280;728;767;911;417;81;939;91;617;223;540;420;751;354;755;772;767;;82;557;770;580;468;856;563;273;860;339;695;652;567;556;985;190;543;75;651;257;204;769;938;558;933;1002;682;490;489;374;511;NEVÞEHÝR;50;;;
51;NÝÐDE;205;541;459;939;441;348;544;976;769;787;648;705;897;535;552;717;986;387;374;646;716;1027;565;568;758;566;417;618;676;1114;396;502;198;797;786;958;499;128;1008;173;686;242;559;467;770;397;742;791;814;82;;607;817;649;546;903;641;320;929;389;742;699;554;575;1032;268;612;123;698;175;286;816;925;627;980;1049;751;559;453;292;580;NÝÐDE;51;;;
52;ORDU;710;724;820;591;279;564;1056;416;1162;1047;836;590;756;623;986;896;1167;479;323;1039;733;1115;592;325;410;797;702;44;207;1023;800;951;779;885;1143;610;441;481;1096;537;774;742;875;560;1127;626;828;1184;673;557;607;;255;737;151;853;306;314;1017;218;180;456;808;932;821;425;657;632;285;782;489;787;948;624;525;701;839;555;761;731;668;ORDU;52;;;
53;RÝZE;920;854;1075;550;534;819;1307;161;1417;1302;1091;559;715;878;1241;1151;1422;734;578;1294;703;1370;576;309;379;1052;912;211;176;924;1010;1206;989;1140;1398;363;696;691;1351;792;1029;993;1130;672;1382;836;798;1439;632;770;817;255;;992;406;812;561;497;1272;473;75;440;879;1187;722;680;912;845;254;992;744;756;907;879;270;497;1094;810;971;941;923;RÝZE;53;;;
54;SAKARYA;791;1060;306;1261;523;305;570;1153;604;310;99;1163;1355;114;448;159;430;347;466;491;1211;378;1060;890;1080;176;972;781;944;1662;982;447;784;148;484;1280;362;623;359;489;37;514;206;962;449;896;1297;636;1272;580;649;737;992;;586;1398;534;743;280;637;917;1021;1109;345;1490;520;183;526;979;627;380;1311;1480;272;1262;1371;102;248;1031;878;69;SAKARYA;54;;;
55;SAMSUN;722;748;669;742;131;413;905;567;1011;896;685;719;907;472;835;745;1016;328;172;888;817;964;664;446;561;646;714;195;358;1174;812;800;744;734;992;761;290;453;945;392;623;591;724;584;976;638;912;1033;824;468;546;151;406;586;;1003;155;338;866;230;331;577;832;781;972;280;506;502;436;702;338;916;1098;473;676;852;688;404;773;743;517;SAMSUN;55;;;
